"","model"
"1","CMU-TimeSeries"
"2","CU-ensemble"
"3","GT-FluFNP"
"4","IEM_Health-FluProject"
"5","LosAlamos_NAU-CModel_Flu"
"6","LUcompUncertLab-humanjudgment"
"7","LUcompUncertLab-TEVA"
"8","MOBS-GLEAM_FLUH"
"9","PSI-DICE"
"10","SGroup-RandomForest"
"11","SGroup-SIkJalpha"
"12","SigSci-CREG"
"13","SigSci-TSENS"
"14","UMass-trends_ensemble"
"15","UT_FluCast-Voltaire"
"16","UVAFluX-Ensemble"
"17","VTSanghani-ExogModel"
