"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CMU-TimeSeries"
"3","CU-ensemble"
"4","GT-FluFNP"
"5","LUcompUncertLab-ensemble_rclp"
"6","LUcompUncertLab-KalmanFilter"
"7","MIGHTE-Nsemble"
"8","MOBS-GLEAM_FLUH"
"9","PSI-DICE"
"10","SGroup-RandomForest"
"11","SigSci-CREG"
"12","SigSci-TSENS"
"13","UGA_flucast-OKeeffe"
"14","UGuelph-FluPLUG"
"15","UMass-trends_ensemble"
"16","UVAFluX-Ensemble"
"17","VTSanghani-ExogModel"
"18","VTSanghani-Transformer"
