"","model"
"1","CADPH-FluCAT_Ensemble"
"2","CMU-TimeSeries"
"3","CU-ensemble"
"4","GT-FluFNP"
"5","LUcompUncertLab-ensemble_rclp"
"6","LUcompUncertLab-KalmanFilter"
"7","MOBS-GLEAM_FLUH"
"8","NIH-Flu_ARIMA"
"9","PSI-DICE"
"10","SGroup-RandomForest"
"11","SigSci-CREG"
"12","SigSci-TSENS"
"13","UGA_flucast-OKeefe"
"14","UMass-trends_ensemble"
"15","UVAFluX-Ensemble"
"16","VTSanghani-ExogModel"
"17","VTSanghani-Transformer"
