"","model"
"1","CEID-Walk"
"2","CMU-TimeSeries"
"3","CU-ensemble"
"4","GH-Flusight"
"5","GT-FluFNP"
"6","IEM_Health-FluProject"
"7","LosAlamos_NAU-CModel_Flu"
"8","LUcompUncertLab-TEVA"
"9","MOBS-GLEAM_FLUH"
"10","PSI-DICE"
"11","SGroup-RandomForest"
"12","SGroup-SIkJalpha"
"13","SigSci-CREG"
"14","SigSci-TSENS"
"15","Umass-ARIMA"
"16","UMass-trends_ensemble"
"17","UT_FluCast-Voltaire"
"18","UVAFluX-Ensemble"
"19","VTSanghani-ExogModel"
