"","model"
"1","CEID-Walk"
"2","CMU-TimeSeries"
"3","CU-ensemble"
"4","GT-FluFNP"
"5","IEM_Health-FluProject"
"6","JHUAPL-Gecko"
"7","LosAlamos_NAU-CModel_Flu"
"8","LUcompUncertLab-TEVA"
"9","LUcompUncertLab-VAR2K_plusCOVID"
"10","PSI-DICE"
"11","SGroup-SIkJalpha"
"12","SigSci-CREG"
"13","SigSci-TSENS"
"14","UMass-trends_ensemble"
"15","UT_FluCast-Voltaire"
"16","UVAFluX-Ensemble"
"17","VTSanghani-ExogModel"
