"","model"
"1","CEID-Walk"
"2","CMU-TimeSeries"
"3","CU-ensemble"
"4","GT-FluFNP"
"5","IEM_Health-FluProject"
"6","JHUAPL-Gecko"
"7","LosAlamos_NAU-CModel_Flu"
"8","LUcompUncertLab-humanjudgment"
"9","LUcompUncertLab-TEVA"
"10","LUcompUncertLab-VAR2K_plusCOVID"
"11","PSI-DICE"
"12","SGroup-SIkJalpha"
"13","SigSci-CREG"
"14","SigSci-TSENS"
"15","UMass-trends_ensemble"
"16","UT_FluCast-Voltaire"
"17","UVAFluX-Ensemble"
"18","VTSanghani-ExogModel"
