"","model"
"1","CMU-TimeSeries"
"2","CU-ensemble"
"3","GT-FluFNP"
"4","IEM_Health-FluProject"
"5","JHUAPL-Gecko"
"6","LosAlamos_NAU-CModel_Flu"
"7","LUcompUncertLab-TEVA"
"8","LUcompUncertLab-VAR2K_plusCOVID"
"9","PSI-DICE"
"10","SGroup-SIkJalpha"
"11","SigSci-CREG"
"12","SigSci-TSENS"
"13","UT_FluCast-Voltaire"
"14","UVAFluX-Ensemble"
"15","VTSanghani-ExogModel"
