"","model"
"1","CEID-Walk"
"2","CMU-TimeSeries"
"3","CU-ensemble"
"4","GH-Flusight"
"5","GT-FluFNP"
"6","IEM_Health-FluProject"
"7","LosAlamos_NAU-CModel_Flu"
"8","LUcompUncertLab-humanjudgment"
"9","LUcompUncertLab-TEVA"
"10","MOBS-GLEAM_FLUH"
"11","PSI-DICE"
"12","SGroup-RandomForest"
"13","SGroup-SIkJalpha"
"14","SigSci-CREG"
"15","SigSci-TSENS"
"16","UMass-trends_ensemble"
"17","UT_FluCast-Voltaire"
"18","UVAFluX-Ensemble"
"19","VTSanghani-ExogModel"
