"","model"
"1","CMU-TimeSeries"
"2","CU-ensemble"
"3","GH-Flusight"
"4","GT-FluFNP"
"5","IEM_Health-FluProject"
"6","LosAlamos_NAU-CModel_Flu"
"7","LUcompUncertLab-humanjudgment"
"8","LUcompUncertLab-TEVA"
"9","MOBS-GLEAM_FLUH"
"10","PSI-DICE"
"11","SGroup-RandomForest"
"12","SGroup-SIkJalpha"
"13","SigSci-CREG"
"14","SigSci-TSENS"
"15","UMass-trends_ensemble"
"16","UT_FluCast-Voltaire"
"17","UVAFluX-Ensemble"
