"","model"
"1","CEID-Walk"
"2","CMU-TimeSeries"
"3","CU-ensemble"
"4","GH-Flusight"
"5","GT-FluFNP"
"6","IEM_Health-FluProject"
"7","LosAlamos_NAU-CModel_Flu"
"8","MOBS-GLEAM_FLUH"
"9","PSI-DICE"
"10","SGroup-RandomForest"
"11","SGroup-SIkJalpha"
"12","SigSci-CREG"
"13","SigSci-TSENS"
"14","Umass-ARIMA"
"15","UMass-trends_ensemble"
"16","UT_FluCast-Voltaire"
"17","UVAFluX-Ensemble"
